Job Id,Unit Id,Annotation_Id,Unit,Annotated Span,Media_Unit-Annotation_Score,Expert,Ground_Truth
245,10,wsj_0745,"I really do n't see the government doing something that Jaguar does n't want over the next 14 months """" said Kenneth Warren a Conservative member of Parliament and chairman of the Select Committee on Trade and Industry in Britain 's House of Commons .",said,0.34,1,1
245,10,wsj_0745,"I really do n't see the government doing something that Jaguar does n't want over the next 14 months """" said Kenneth Warren a Conservative member of Parliament and chairman of the Select Committee on Trade and Industry in Britain 's House of Commons .",see,0.34,1,1
245,10,wsj_0745,"I really do n't see the government doing something that Jaguar does n't want over the next 14 months """" said Kenneth Warren a Conservative member of Parliament and chairman of the Select Committee on Trade and Industry in Britain 's House of Commons .",want,0.23,1,1
245,11,Wsj_0151,Mr. Ackerman already is seeking to oust Mr. Edelman as chairman of Datapoint Corp. an Intelogic affiliate .,seeking,0.4,1,1
245,12,wsj_0584,In response to BellSouth 's amended pact the Kirkland Wash . company extended its own offer to buy 22 million LIN shares for $ 125 apiece which would give McCaw a 50.3 % controlling interest .,buy,0.37,1,1
245,12,wsj_0584,In response to BellSouth 's amended pact the Kirkland Wash . company extended its own offer to buy 22 million LIN shares for $ 125 apiece which would give McCaw a 50.3 % controlling interest .,offer,0.37,1,1
245,12,wsj_0584,In response to BellSouth 's amended pact the Kirkland Wash . company extended its own offer to buy 22 million LIN shares for $ 125 apiece which would give McCaw a 50.3 % controlling interest .,give,0.18,1,1
245,13,wsj_0583,"Sansui he said is a perfect fit for Polly Peck 's electronics operations which make televisions videocassette recorders microwaves and other products on an """" original equipment maker """" basis for sale under other companies ' brand names .",said,0.36,1,1
245,14,NYT19980212.0019,The other customers fled and the police said it did not appear that anyone else was injured .,injured,0.28,1,1
245,14,NYT19980212.0019,The other customers fled and the police said it did not appear that anyone else was injured .,appear,0.14,1,1
245,14,NYT19980212.0019,The other customers fled and the police said it did not appear that anyone else was injured .,said,0.14,1,1
245,15,wsj_0340,Earlier yesterday the Societe de Bourses Francaises was told that a unit of Framatome S.A. also bought Navigation Mixte shares this purchase covering more than 160000 shares .,told,0.29,1,1
245,15,wsj_0340,Earlier yesterday the Societe de Bourses Francaises was told that a unit of Framatome S.A. also bought Navigation Mixte shares this purchase covering more than 160000 shares .,purchase,0.22,1,1
245,18,wsj_0127,The British paper packaging and publishing concern said profit from continuing lines fell 10 % to # 118 million from # 130.6 million .,said,0.43,1,1
245,19,wsj_0527,Crossland said it retained three investment bankers to assist it in developing and implementing a financial restructuring plan,developing,0.35,1,1
245,19,wsj_0527,Crossland said it retained three investment bankers to assist it in developing and implementing a financial restructuring plan,implementing,0.35,1,1
245,19,wsj_0527,Crossland said it retained three investment bankers to assist it in developing and implementing a financial restructuring plan,assist,0.28,1,1
245,19,wsj_0527,Crossland said it retained three investment bankers to assist it in developing and implementing a financial restructuring plan,said,0.21,1,1
245,20,wsj_0695,Rally officials were n't available to comment late yesterday,comment,0.64,1,1
245,20,wsj_0695,Rally officials were n't available to comment late yesterday,available,0.32,1,1
245,21,wsj_0570,Under the terms Milton Roy will pay an initial $ 4 million for the operations and additional payments during the next four years based on the earnings performance of the businesses .,payments,0.25,1,1
245,21,wsj_0570,Under the terms Milton Roy will pay an initial $ 4 million for the operations and additional payments during the next four years based on the earnings performance of the businesses .,operations,0.16,1,1
245,22,wsj_1003,"However in spite of the difficult industrywide environment of high cost and low volume Bethlehem """" had pretty good earnings numbers """" said Michelle Galanter Applebaum an analyst with Salomon Brothers Inc.",had,0.22,1,1
245,22,wsj_1003,"However in spite of the difficult industrywide environment of high cost and low volume Bethlehem """" had pretty good earnings numbers """" said Michelle Galanter Applebaum an analyst with Salomon Brothers Inc.",said,0.11,1,1
245,23,PRI19980306.2000.1675,For The World this is Pamela McCall in the BBC news room in London .,[NONE],0,1,1
245,24,wsj_0027,They expect him to cut costs throughout the organization,expect,0.15,1,1
245,25,wsj_0781,Sun Hewlett - Packard and others say Intel is n't wholly to blame for the snafu .,say,0.46,1,1
245,26,wsj_0527,Net interest income for the third quarter declined to $ 35.6 million from $ 70.1 million a year ago,[NONE],0.75,1,1
245,27,wsj_1031,Under certain circumstances the rights would entitle Philip Morris holders to buy shares of either the company or its acquirer for half price .,entitle,0.1,1,1
245,28,wsj_0324,The acquisition brings together the two largest competitors to Home Shopping Network Inc. which now reaches more viewers than any other company in the video shopping industry .,brings,0.21,1,1
245,28,wsj_0324,The acquisition brings together the two largest competitors to Home Shopping Network Inc. which now reaches more viewers than any other company in the video shopping industry .,reaches,0.14,1,1
245,30,wsj_1013,Columbia officials said they do n't know how quickly they will dispose of the thrift 's junk bonds because federal regulations such as those that would allow thrifts to continue holding the bonds in separately capitalized subsidiaries have n't yet been completed .,completed,0.21,1,1
245,30,wsj_1013,Columbia officials said they do n't know how quickly they will dispose of the thrift 's junk bonds because federal regulations such as those that would allow thrifts to continue holding the bonds in separately capitalized subsidiaries have n't yet been completed .,holding,0.21,1,1
245,30,wsj_1013,Columbia officials said they do n't know how quickly they will dispose of the thrift 's junk bonds because federal regulations such as those that would allow thrifts to continue holding the bonds in separately capitalized subsidiaries have n't yet been completed .,allow,0.14,1,1
245,30,wsj_1013,Columbia officials said they do n't know how quickly they will dispose of the thrift 's junk bonds because federal regulations such as those that would allow thrifts to continue holding the bonds in separately capitalized subsidiaries have n't yet been completed .,continue,0.14,1,1
245,30,wsj_1013,Columbia officials said they do n't know how quickly they will dispose of the thrift 's junk bonds because federal regulations such as those that would allow thrifts to continue holding the bonds in separately capitalized subsidiaries have n't yet been completed .,know,0.07,1,1
245,30,wsj_1013,Columbia officials said they do n't know how quickly they will dispose of the thrift 's junk bonds because federal regulations such as those that would allow thrifts to continue holding the bonds in separately capitalized subsidiaries have n't yet been completed .,said,0,1,1
245,32,wsj_0610,As expected Kellogg reported lower third-quarter earnings .,expected,0,1,1
245,33,wsj_1033,The unit said it can provide no assurance a transaction will occur,occur,0.25,1,1
245,33,wsj_1033,The unit said it can provide no assurance a transaction will occur,provide,0.25,1,1
245,33,wsj_1033,The unit said it can provide no assurance a transaction will occur,said,0.25,1,1
245,34,wsj_0584,But under new terms of the agreement announced Friday LIN holders would receive a special cash dividend of $ 42 a share representing a payout of about $ 2.23 billion shortly before the proposed merger .,merger,0.58,1,1
245,34,wsj_0584,But under new terms of the agreement announced Friday LIN holders would receive a special cash dividend of $ 42 a share representing a payout of about $ 2.23 billion shortly before the proposed merger .,receive,0.29,1,1
245,34,wsj_0584,But under new terms of the agreement announced Friday LIN holders would receive a special cash dividend of $ 42 a share representing a payout of about $ 2.23 billion shortly before the proposed merger .,announced,0,1,1
245,35,wsj_0172,The Midwest Financial subsidiary banks will continue to operate under their current names until early 1990 when each will adopt the First of America name .,operate,0.48,1,1
245,35,wsj_0172,The Midwest Financial subsidiary banks will continue to operate under their current names until early 1990 when each will adopt the First of America name .,continue,0.39,1,1
245,36,wsj_1008,Lawrence Insurance underwrites mostly primary insurance a company spokesman said .,said,0.19,1,1
245,38,wsj_0161,In addition Hadson said it will write off about $ 3.5 million in costs related to international exploration leases where exploration efforts have been unsuccessful .,exploration,0.34,0,1
245,38,wsj_0161,In addition Hadson said it will write off about $ 3.5 million in costs related to international exploration leases where exploration efforts have been unsuccessful .,exploration,0.34,0,1
245,38,wsj_0161,In addition Hadson said it will write off about $ 3.5 million in costs related to international exploration leases where exploration efforts have been unsuccessful .,said,0.11,1,1
245,38,wsj_0161,In addition Hadson said it will write off about $ 3.5 million in costs related to international exploration leases where exploration efforts have been unsuccessful .,unsuccessful,0.11,0,1
245,40,VOA19980331.1700.1533,But the number of patients waiting then begins to increase um and in fact um over the years many more patients who are about to die of liver tra - uh without a liver transplant would accumulate .,accumulate,0.32,1,1
245,40,VOA19980331.1700.1533,But the number of patients waiting then begins to increase um and in fact um over the years many more patients who are about to die of liver tra - uh without a liver transplant would accumulate .,increase,0.32,1,1
245,40,VOA19980331.1700.1533,But the number of patients waiting then begins to increase um and in fact um over the years many more patients who are about to die of liver tra - uh without a liver transplant would accumulate .,waiting,0.32,1,1
245,40,VOA19980331.1700.1533,But the number of patients waiting then begins to increase um and in fact um over the years many more patients who are about to die of liver tra - uh without a liver transplant would accumulate .,begins,0.08,1,1
245,41,wsj_0679,Hewlett - Packard Co. said it raised its stake in Octel Communications Corp. to 8.5 % of the common shares outstanding,said,0,1,1
245,42,wsj_0585,Merrill Lynch Goldman Sachs and Kidder Peabody in addition to Shearson do program-trade OTC stocks .,stocks,0.37,0,0
245,42,wsj_0585,Merrill Lynch Goldman Sachs and Kidder Peabody in addition to Shearson do program-trade OTC stocks .,[NONE],0.24,1,1
245,42,wsj_0585,Merrill Lynch Goldman Sachs and Kidder Peabody in addition to Shearson do program-trade OTC stocks .,OTC,0.24,0,0
245,42,wsj_0585,Merrill Lynch Goldman Sachs and Kidder Peabody in addition to Shearson do program-trade OTC stocks .,do,0.12,0,0
245,43,wsj_0585,Because of program trading it is more difficult to trade many OTC stocks without sharp price moves a condition known as illiquidity .,trading,0.38,1,1
245,43,wsj_0585,Because of program trading it is more difficult to trade many OTC stocks without sharp price moves a condition known as illiquidity .,moves,0.32,1,1
245,43,wsj_0585,Because of program trading it is more difficult to trade many OTC stocks without sharp price moves a condition known as illiquidity .,difficult,0.13,1,1
245,45,wsj_0981,MGM Grand said the latest stock offering wo n't cover the $ 600 million or more cost of building the proposed resort and theme park and added it will need to seek additional financing either through bank borrowings or debt and equity offerings at a later date .,seek,0.32,1,1
245,45,wsj_0981,MGM Grand said the latest stock offering wo n't cover the $ 600 million or more cost of building the proposed resort and theme park and added it will need to seek additional financing either through bank borrowings or debt and equity offerings at a later date .,building,0.19,1,1
245,45,wsj_0981,MGM Grand said the latest stock offering wo n't cover the $ 600 million or more cost of building the proposed resort and theme park and added it will need to seek additional financing either through bank borrowings or debt and equity offerings at a later date .,added,0.06,1,1
245,45,wsj_0981,MGM Grand said the latest stock offering wo n't cover the $ 600 million or more cost of building the proposed resort and theme park and added it will need to seek additional financing either through bank borrowings or debt and equity offerings at a later date .,cover,0.06,1,1
245,45,wsj_0981,MGM Grand said the latest stock offering wo n't cover the $ 600 million or more cost of building the proposed resort and theme park and added it will need to seek additional financing either through bank borrowings or debt and equity offerings at a later date .,need,0.06,1,1
245,45,wsj_0981,MGM Grand said the latest stock offering wo n't cover the $ 600 million or more cost of building the proposed resort and theme park and added it will need to seek additional financing either through bank borrowings or debt and equity offerings at a later date .,said,0.06,1,1
245,47,wsj_1006,Mr. Lortie 's departure while sudden was seen as inevitable in light of the shift in strategy .,shift,0.31,1,1
245,47,wsj_1006,Mr. Lortie 's departure while sudden was seen as inevitable in light of the shift in strategy .,seen,0.16,1,1
245,47,wsj_1006,Mr. Lortie 's departure while sudden was seen as inevitable in light of the shift in strategy .,inevitable,0.08,1,1
245,48,CNN19980223.1130.0960,Weakened oil prices have already made life easier for motorists at the gas pump,made,0.45,1,1
245,49,wsj_0760,Operating profit in the company 's abrasives segment rose 16 % while operating profit in the engineering materials segment rose 2 %,rose,0.33,1,1
245,49,wsj_0760,Operating profit in the company 's abrasives segment rose 16 % while operating profit in the engineering materials segment rose 2 %,rose,0.25,1,1
245,50,WSJ900813-0157,"The Bush administration immediately said it """" categorically """" rejects the proposals .",said,0.26,1,1
246,51,VOA19980305.1800.2603,She says security under the fundamentalist Taleban government is better but everything else is worse .,worse,0.29,1,1
246,51,VOA19980305.1800.2603,She says security under the fundamentalist Taleban government is better but everything else is worse .,better,0.19,1,1
246,53,wsj_0292,In the 1989 period also interest expense and tax rates were lower than a year ago .,lower,0.2,1,1
246,54,wsj_0583,Japanese government officials eager to rebut foreign criticism of Japanese investments overseas hailed the transaction as proof foreigners can make similar investments in Japan .,investments,0.15,1,1
246,55,NYT19980206.0460,Long-term interest rates an important indicator of economic stability have fallen in the last few months .,fallen,0.52,1,1
246,56,wsj_1003,Of all the major steelmakers Bethlehem would seem to be the most vulnerable to a slowdown .,vulnerable,0.41,1,1
246,56,wsj_1003,Of all the major steelmakers Bethlehem would seem to be the most vulnerable to a slowdown .,seem,0.16,1,1
246,58,wsj_0346,The company which currently has 13.5 million common shares outstanding said it has no specific plans for the shares .,has,0.25,1,1
246,58,wsj_0346,The company which currently has 13.5 million common shares outstanding said it has no specific plans for the shares .,has,0.25,1,1
246,58,wsj_0346,The company which currently has 13.5 million common shares outstanding said it has no specific plans for the shares .,said,0.19,1,1
246,59,WSJ900813-0157,Two Middle East terrorists with records of successful attacks against Western targets Abu Nidal and Abu Abbas have ties to Baghdad .,[NONE],0,1,0
246,62,wsj_1006,Bertin Nadeau newly appointed chairman and interim chief executive of Provigo would n't say if Mr. Lortie was asked to leave .,leave,0.42,1,1
246,62,wsj_1006,Bertin Nadeau newly appointed chairman and interim chief executive of Provigo would n't say if Mr. Lortie was asked to leave .,asked,0.28,1,1
246,62,wsj_1006,Bertin Nadeau newly appointed chairman and interim chief executive of Provigo would n't say if Mr. Lortie was asked to leave .,say,0.28,1,1
246,63,wsj_0132,The 32 % state-owned DSM had eight million guilders of extraordinary charges in the latest quarter mainly to reflect one-time losses in connection with the disposal of some operations .,reflect,0.07,1,1
246,64,wsj_0610,But the Memphis Tenn . facility was n't to begin turning out product until 1993 so the decision may reveal a more pessimistic long-term outlook as well .,turning,0.49,1,1
246,64,wsj_0610,But the Memphis Tenn . facility was n't to begin turning out product until 1993 so the decision may reveal a more pessimistic long-term outlook as well .,begin,0.12,1,1
246,64,wsj_0610,But the Memphis Tenn . facility was n't to begin turning out product until 1993 so the decision may reveal a more pessimistic long-term outlook as well .,decision,0.12,1,1
246,65,wsj_0973,The deal which will involve an initial $ 20 million investment was struck with a handshake he added .,investment,0.3,1,1
246,65,wsj_0973,The deal which will involve an initial $ 20 million investment was struck with a handshake he added .,involve,0.12,1,1
246,65,wsj_0973,The deal which will involve an initial $ 20 million investment was struck with a handshake he added .,added,0.06,1,1
246,66,ABC19980108.1830.0711,They believe ah it will be always up going up and up ah forever,believe,0.27,1,1
246,67,wsj_0760,The company had a tax credit of $ 1.4 million,[NONE],0,1,1
246,69,wsj_0172,Midwest Financial has $ 2.3 billion in assets and eight banks,[NONE],0.11,1,1
246,70,wsj_0586,Dealers said the multinational oil company was pressured by recent brokerage recommendations urging investors to switch into Shell Trading amp Transport,pressured,0.35,1,1
246,70,wsj_0586,Dealers said the multinational oil company was pressured by recent brokerage recommendations urging investors to switch into Shell Trading amp Transport,switch,0.35,1,1
246,70,wsj_0586,Dealers said the multinational oil company was pressured by recent brokerage recommendations urging investors to switch into Shell Trading amp Transport,urging,0.18,1,1
246,70,wsj_0586,Dealers said the multinational oil company was pressured by recent brokerage recommendations urging investors to switch into Shell Trading amp Transport,said,0.09,1,1
246,71,APW19980227.0489,The assassination touched off a murderous rampage by Hutu security forces and civilians who slaughtered mainly Tutsis but also Hutus who favored reconciliation with the minority .,reconciliation,0.19,1,1
246,71,APW19980227.0489,The assassination touched off a murderous rampage by Hutu security forces and civilians who slaughtered mainly Tutsis but also Hutus who favored reconciliation with the minority .,favored,0,1,1
246,72,wsj_0610,Led by its oat-based Cheerios line General Mills has gained an estimated 2 % share so far this year mostly at the expense of Kellogg .,Led,0.2,1,1
246,74,ABC19980108.1830.0711,You can get seventy percent discounts at the shopping malls,get,0.34,1,1
246,75,wsj_0575,During that time Control Data had losses of more than $ 1 billion .,had,0.32,1,1
246,76,CNN19980227.2130.0067,New evidence is suggesting that a series of bombings in Atalanta and last month 's explosion at an Alabama women 's clinic might be related,suggesting,0.07,1,1
246,76,CNN19980227.2130.0067,New evidence is suggesting that a series of bombings in Atalanta and last month 's explosion at an Alabama women 's clinic might be related,related,0,1,1
246,78,wsj_1006,In a related move Pierre Lortie chairman and chief executive resigned .,move,0.2,1,1
246,79,ABC19980120.1830.0957,For his part Fidel Castro is the ultimate political survivor .,[NONE],0,1,1
246,80,PRI19980121.2000.2591,Most of the city 's monuments were destroyed including a magnificent tiled mosque which dominated the skyline for centuries .,dominated,0.37,1,1
246,81,wsj_0670,The company also said it continues to explore all options concerning the possible sale of National Aluminum 's 54.5 % stake in an aluminum smelter in Hawesville Ky .,sale,0.24,0,1
246,81,wsj_0670,The company also said it continues to explore all options concerning the possible sale of National Aluminum 's 54.5 % stake in an aluminum smelter in Hawesville Ky .,continues,0.12,1,1
246,83,wsj_0768,Fidelity 's junk fund has fallen 2.08 % this year through Oct . 19 Lipper says ;,says,0.18,1,1
246,84,wsj_0661,DPC Acquisition is controlled by Crescott Investment Associates Wilson Investment Group Kernel Corp. and Catalyst Partners .,[NONE],0,1,1
246,85,wsj_0810,Mr. Fournier said that as Navigation Mixte chairman he is prohibited by takeover regulations from organizing his own defense or doing anything besides managing current company business .,organizing,0.37,0,1
246,85,wsj_0810,Mr. Fournier said that as Navigation Mixte chairman he is prohibited by takeover regulations from organizing his own defense or doing anything besides managing current company business .,said,0.28,1,1
246,85,wsj_0810,Mr. Fournier said that as Navigation Mixte chairman he is prohibited by takeover regulations from organizing his own defense or doing anything besides managing current company business .,prohibited,0.19,0,1
246,86,WSJ910225-0066,Perhaps more important it appears that allied troops have n't yet fully engaged Iraq 's vaunted Republican Guard which has been sitting just north of the Iraq - Kuwait border and is considered the most potent element in the Iraqi defense .,appears,0.22,1,1
246,86,WSJ910225-0066,Perhaps more important it appears that allied troops have n't yet fully engaged Iraq 's vaunted Republican Guard which has been sitting just north of the Iraq - Kuwait border and is considered the most potent element in the Iraqi defense .,considered,0.22,1,1
246,86,WSJ910225-0066,Perhaps more important it appears that allied troops have n't yet fully engaged Iraq 's vaunted Republican Guard which has been sitting just north of the Iraq - Kuwait border and is considered the most potent element in the Iraqi defense .,sitting,0.22,1,1
246,87,APW19980227.0476,Both U.S. and British officials filed objections to the court 's jurisdiction in 1995 claiming Security Council resolutions imposed on Lybia to force the suspects ' extradition overruled a 1971 Convention which gives Libya the right to try the men .,filed,0.45,1,1
246,87,APW19980227.0476,Both U.S. and British officials filed objections to the court 's jurisdiction in 1995 claiming Security Council resolutions imposed on Lybia to force the suspects ' extradition overruled a 1971 Convention which gives Libya the right to try the men .,claiming,0.15,1,1
246,87,APW19980227.0476,Both U.S. and British officials filed objections to the court 's jurisdiction in 1995 claiming Security Council resolutions imposed on Lybia to force the suspects ' extradition overruled a 1971 Convention which gives Libya the right to try the men .,force,0.15,1,1
246,87,APW19980227.0476,Both U.S. and British officials filed objections to the court 's jurisdiction in 1995 claiming Security Council resolutions imposed on Lybia to force the suspects ' extradition overruled a 1971 Convention which gives Libya the right to try the men .,imposed,0.15,1,1
246,87,APW19980227.0476,Both U.S. and British officials filed objections to the court 's jurisdiction in 1995 claiming Security Council resolutions imposed on Lybia to force the suspects ' extradition overruled a 1971 Convention which gives Libya the right to try the men .,overruled,0.15,1,1
246,89,wsj_0329,Coda Energy Inc. said it arranged a $ 50 million credit facility with NCNB Texas National Bank a unit of NCNB Corp. of Charlotte N.C.,said,0.09,1,1
246,90,wsj_0585,Friday 's trading volume totaled 132.8 million shares,totaled,0.27,1,1
246,91,wsj_0586,They said contributing to the downward drift was the fact that many professional traders had chosen to square positions ahead of the weekend,chosen,0.35,1,1
246,91,wsj_0586,They said contributing to the downward drift was the fact that many professional traders had chosen to square positions ahead of the weekend,drift,0.35,1,1
246,91,wsj_0586,They said contributing to the downward drift was the fact that many professional traders had chosen to square positions ahead of the weekend,square,0.35,1,1
246,91,wsj_0586,They said contributing to the downward drift was the fact that many professional traders had chosen to square positions ahead of the weekend,said,0.18,1,1
246,92,WSJ910225-0066,The American hope is that someone from within Iraq perhaps from the army 's professional ranks will step forward and push Saddam Hussein aside so that the country can begin recovering from the disaster .,step,0.26,0,1
246,92,WSJ910225-0066,The American hope is that someone from within Iraq perhaps from the army 's professional ranks will step forward and push Saddam Hussein aside so that the country can begin recovering from the disaster .,begin,0.19,0,1
246,92,WSJ910225-0066,The American hope is that someone from within Iraq perhaps from the army 's professional ranks will step forward and push Saddam Hussein aside so that the country can begin recovering from the disaster .,[NONE],0,1,0
246,93,AP900815-0044,Also today King Hussein of Jordan arrived in Washington seeking to mediate the Persian Gulf crisis .,seeking,0.29,1,1
246,95,wsj_0533,"The Canadian government previously said Merieux 's bid did n't offer enough """" net benefit """" to Canada to be approved and gave Merieux an until mid-November to submit additional information .",said,0.25,1,1
246,95,wsj_0533,"The Canadian government previously said Merieux 's bid did n't offer enough """" net benefit """" to Canada to be approved and gave Merieux an until mid-November to submit additional information .",submit,0.25,1,1
246,95,wsj_0533,"The Canadian government previously said Merieux 's bid did n't offer enough """" net benefit """" to Canada to be approved and gave Merieux an until mid-November to submit additional information .",gave,0.12,1,1
246,95,wsj_0533,"The Canadian government previously said Merieux 's bid did n't offer enough """" net benefit """" to Canada to be approved and gave Merieux an until mid-November to submit additional information .",offer,0.12,1,1
246,96,wsj_0768,Last week alone an eye-popping $ 1.6 billion flowed out of the junk funds or nearly 5 % of their total assets according to estimates by Dalbar Financial Services Inc. a Boston research firm .,flowed,0.42,1,1
246,96,wsj_0768,Last week alone an eye-popping $ 1.6 billion flowed out of the junk funds or nearly 5 % of their total assets according to estimates by Dalbar Financial Services Inc. a Boston research firm .,according,0,1,1
246,98,wsj_0778,A seizure also would make the case the largest -- and one of the first -- in which lawyers ' fees have been confiscated in a prosecution unrelated to drugs,make,0.18,1,1
246,99,PRI19980303.2000.2550,The instruction is in English for most classes in Arabic for language and religious studies .,[NONE],0,1,1
246,100,wsj_1013,Columbia announced the results after the close of the stock market,close,0.28,1,1
247,101,PRI19980303.2000.2550,Pastor James Allmen of the fellowship church and school in Ashburn has led the anti-Saudi campaign,led,0.42,1,1
247,103,CNN19980213.2130.0155,President Clinton meantime glossed over stern warnings from Moscow on Thursday that US air strikes against Iraq could do serious harm to relations with the Kremlin .,strikes,0.32,1,1
247,103,CNN19980213.2130.0155,President Clinton meantime glossed over stern warnings from Moscow on Thursday that US air strikes against Iraq could do serious harm to relations with the Kremlin .,do,0,1,1
247,104,wsj_1031,The giant foods tobacco and brewing company said it will issue common-share purchase rights to shareholders of record Nov . 8 .,said,0.47,1,1
247,105,AP900815-0044,In other developments : The Pentagon said that Defense Secretary Dick Cheney is considering urging Bush to order a national callup of armed forces reserves for active duty because of the drain on units sending soldiers abroad,order,0.26,1,1
247,105,AP900815-0044,In other developments : The Pentagon said that Defense Secretary Dick Cheney is considering urging Bush to order a national callup of armed forces reserves for active duty because of the drain on units sending soldiers abroad,said,0.26,1,1
247,105,AP900815-0044,In other developments : The Pentagon said that Defense Secretary Dick Cheney is considering urging Bush to order a national callup of armed forces reserves for active duty because of the drain on units sending soldiers abroad,urging,0.26,1,1
247,105,AP900815-0044,In other developments : The Pentagon said that Defense Secretary Dick Cheney is considering urging Bush to order a national callup of armed forces reserves for active duty because of the drain on units sending soldiers abroad,drain,0.09,1,1
247,105,AP900815-0044,In other developments : The Pentagon said that Defense Secretary Dick Cheney is considering urging Bush to order a national callup of armed forces reserves for active duty because of the drain on units sending soldiers abroad,sending,0.09,0,1
247,107,NYT19980206.0466,"White House spokesman Mike McCurry and President Clinton in response to an article in The New York Times on Friday about her statements regarding a meeting with the president : Wechsler on Thursday """" Without commenting on the allegations raised in this article to the extent that there is any implication or suggestion that Mrs. Currie was aware of any legal or ethical impropriety by anyone that implication or suggestion is entirely inaccurate . """"",statements,0.3,1,1
247,107,NYT19980206.0466,"White House spokesman Mike McCurry and President Clinton in response to an article in The New York Times on Friday about her statements regarding a meeting with the president : Wechsler on Thursday """" Without commenting on the allegations raised in this article to the extent that there is any implication or suggestion that Mrs. Currie was aware of any legal or ethical impropriety by anyone that implication or suggestion is entirely inaccurate . """"",raised,0.15,1,1
247,107,NYT19980206.0466,"White House spokesman Mike McCurry and President Clinton in response to an article in The New York Times on Friday about her statements regarding a meeting with the president : Wechsler on Thursday """" Without commenting on the allegations raised in this article to the extent that there is any implication or suggestion that Mrs. Currie was aware of any legal or ethical impropriety by anyone that implication or suggestion is entirely inaccurate . """"",aware,0.07,1,1
247,108,wsj_0376,"The sharper definition and the autonomy which each will thereby gain will benefit shareholders customers and employees . """"",[NONE],0,1,1
247,109,wsj_0904,"Over the next couple of years we would not be surprised to see Europe and international { sales } represent 50 % of the company 's revenues """" he said .",represent,0.45,1,1
247,109,wsj_0904,"Over the next couple of years we would not be surprised to see Europe and international { sales } represent 50 % of the company 's revenues """" he said .",surprised,0.34,1,1
247,109,wsj_0904,"Over the next couple of years we would not be surprised to see Europe and international { sales } represent 50 % of the company 's revenues """" he said .",said,0,1,1
247,109,wsj_0904,"Over the next couple of years we would not be surprised to see Europe and international { sales } represent 50 % of the company 's revenues """" he said .",see,0,1,1
